file_name,avg_cyclomatic_complexity,halstead_volume,halstead_effort,depth_of_inheritance_tree,number_of_methods_per_class,weighted_methods_per_class,nesting_depth,class_coupling,comment_density,whitespace_ratio,docstring_presence,avg_identifier_length,code_duplication_pct,commit_frequency,author_count,bug_fix_ratio,code_age_days,target_bug_proneness
tests/test_datastructures.py,3.1666666666666665,142.7018117963935,236.58458271507345,0.0,0.0,0.0,1.0,21.0,0.0273972602739726,0.273972602739726,0.0,12.464285714285714,0.018867924528301886,5,2,0.6,2205,0
tests/test_starlette_exception.py,2.6363636363636362,272.89223069906643,545.7844613981329,0.0,0.0,0.0,1.0,10.0,0.0,0.1330049261083744,0.0,18.61904761904762,0.42613636363636365,13,7,0.5384615384615384,2221,1
tests/test_multi_body_errors.py,2.3333333333333335,173.91626957122043,272.2167697636494,1.0,0.0,0.0,0.0,15.0,0.017241379310344827,0.07327586206896551,0.0,10.523809523809524,0.46511627906976744,15,5,0.6,2269,1
tests/test_security_http_digest_description.py,2.6,98.09910819000817,49.04955409500408,0.0,0.0,0.0,0.0,10.0,0.0,0.21739130434782608,0.0,16.933333333333334,0.16666666666666666,3,2,0.6666666666666666,1327,0
tests/test_json_type.py,2.0,98.09910819000817,49.04955409500408,0.0,0.0,0.0,0.0,16.0,0.0,0.328125,0.0,9.708333333333334,0.2558139534883721,1,1,1.0,0,0
tests/test_union_body_discriminator_annotated.py,2.5,84.0,84.0,1.0,0.0,0.0,0.0,23.0,0.004901960784313725,0.09313725490196079,0.0,9.59375,0.41621621621621624,5,2,0.4,0,0
tests/test_computed_fields.py,2.3333333333333335,53.77443751081735,53.77443751081735,1.0,1.0,2.3333333333333335,0.0,16.0,0.0,0.1414141414141414,0.0,8.043478260869565,0.3058823529411765,2,2,0.5,590,1
tests/test_security_oauth2.py,2.3333333333333335,343.9441919741497,343.9441919741497,1.0,0.0,0.0,0.0,19.0,0.024096385542168676,0.08734939759036145,0.0,14.451612903225806,0.47854785478547857,17,8,0.7058823529411765,2270,1
tests/test_openapi_schema_type.py,1.5,4.754887502163469,2.3774437510817346,0.0,0.0,0.0,1.0,7.0,0.0,0.2,1.0,11.0,0.0,3,2,0.0,0,0
tests/test_param_in_path_and_dependency.py,1.5,13.931568569324174,6.965784284662087,0.0,0.0,0.0,0.0,8.0,0.0,0.1276595744680851,0.0,8.583333333333334,0.25609756097560976,6,4,0.8333333333333334,1843,1
tests/test_security_http_basic_optional.py,3.1666666666666665,187.48684196024655,187.48684196024655,0.0,0.0,0.0,1.0,14.0,0.0,0.23076923076923078,0.0,15.7,0.16666666666666666,9,2,0.4444444444444444,2175,0
tests/test_depends_hashable.py,3.0,39.863137138648355,39.863137138648355,0.0,0.0,0.0,0.0,9.0,0.11538461538461539,0.3076923076923077,0.0,5.0,0.0,1,1,0.0,0,0
tests/test_response_model_invalid.py,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.34782608695652173,0.0,21.545454545454547,0.4,1,1,1.0,1843,0
tests/test_dependency_yield_scope.py,2.0,423.2892142331043,440.9262648261504,0.0,1.0,2.0,1.0,34.0,0.0,0.3048780487804878,0.0,13.90625,0.28654970760233917,3,2,0.3333333333333333,0,0
tests/test_multi_query_errors.py,2.5,84.0,84.0,0.0,0.0,0.0,0.0,10.0,0.0072992700729927005,0.0948905109489051,0.0,8.857142857142858,0.3629032258064516,11,3,0.5454545454545454,2269,1
tests/test_additional_responses_bad.py,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.04878048780487805,0.21951219512195122,0.0,8.444444444444445,0.125,4,2,0.25,2025,0
tests/test_dependency_security_overrides.py,1.375,25.26619429851844,12.63309714925922,0.0,0.0,0.0,0.0,15.0,0.0,0.3181818181818182,0.0,9.391304347826088,0.24444444444444444,1,1,1.0,1736,0
tests/test_response_change_status_code.py,1.5,13.931568569324174,6.965784284662087,0.0,0.0,0.0,0.0,8.0,0.0,0.4444444444444444,0.0,10.5,0.0,3,2,0.3333333333333333,2111,0
tests/test_include_route.py,2.0,13.931568569324174,6.965784284662087,0.0,0.0,0.0,0.0,9.0,0.0,0.391304347826087,0.0,8.454545454545455,0.0,3,2,0.3333333333333333,2270,0
tests/test_forms_from_non_typing_sequences.py,2.0,66.60791492653966,33.30395746326983,0.0,0.0,0.0,0.0,10.0,0.0,0.3404255319148936,0.0,12.8125,0.2903225806451613,4,3,0.5,1886,0
tests/test_dependency_pep695.py,2.0,13.931568569324174,6.965784284662087,0.0,0.0,0.0,0.0,12.0,0.0,0.35714285714285715,0.0,9.2,0.0,1,1,0.0,0,0
tests/test_union_forms.py,2.0,98.09910819000817,49.04955409500408,1.0,0.0,0.0,0.0,15.0,0.0,0.12804878048780488,0.0,10.043478260869565,0.34265734265734266,5,3,0.4,0,0
tests/test_strict_content_type_app_level.py,2.1666666666666665,82.0447025077789,41.02235125388945,0.0,0.0,0.0,0.0,9.0,0.0,0.4,0.0,17.133333333333333,0.18518518518518517,1,1,0.0,0,0
tests/test_security_scopes_dont_propagate.py,1.4,13.931568569324174,6.965784284662087,0.0,0.0,0.0,0.0,15.0,0.022222222222222223,0.37777777777777777,0.0,8.0,0.07142857142857142,2,2,0.5,0,0
tests/test_schema_extra_examples.py,7.0,426.89948181794114,884.2917837657353,1.0,0.0,0.0,1.0,22.0,0.04033092037228542,0.04343329886246122,1.0,10.418604651162791,0.7178378378378378,9,5,0.6666666666666666,1411,1
tests/test_default_response_class_router.py,1.9655172413793103,489.9627611898383,244.98138059491916,1.0,0.0,0.0,1.0,20.0,0.0,0.3188405797101449,0.0,13.857142857142858,0.2198581560283688,2,2,0.0,1995,0
tests/test_invalid_sequence_param.py,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.3333333333333333,0.0,9.0,0.5,4,1,0.25,2118,1
tests/forward_reference_type.py,1.0,4.754887502163469,2.3774437510817346,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.0,8.333333333333334,0.0,1,1,0.0,0,0
tests/test_custom_swagger_ui_redirect.py,3.0,98.09910819000817,104.6390487360087,0.0,0.0,0.0,0.0,7.0,0.0,0.3333333333333333,0.0,12.545454545454545,0.07692307692307693,3,3,0.3333333333333333,2126,0
tests/test_response_model_sub_types.py,1.8571428571428572,50.53238859703688,50.53238859703688,1.0,0.0,0.0,0.0,10.0,0.0,0.12578616352201258,0.0,7.352941176470588,0.5107913669064749,5,3,0.8,1843,0
tests/test_params_repr.py,2.107142857142857,555.8870328854922,277.9435164427461,0.0,0.0,0.0,0.0,12.0,0.0457516339869281,0.38562091503267976,0.0,15.825,0.1595744680851064,4,3,0.5,1738,0
tests/test_schema_ref_pydantic_v2.py,1.6666666666666667,13.931568569324174,6.965784284662087,1.0,0.0,0.0,0.0,14.0,0.0,0.15942028985507245,0.0,7.947368421052632,0.1724137931034483,2,1,0.5,0,0
tests/test_security_openid_connect_description.py,2.142857142857143,98.09910819000817,49.04955409500408,1.0,0.0,0.0,0.0,15.0,0.0,0.24050632911392406,0.0,12.590909090909092,0.15,3,2,0.6666666666666666,1327,0
tests/test_inherited_custom_class.py,1.7142857142857142,66.60791492653966,72.66317991986145,1.0,1.25,2.142857142857143,1.0,26.0,0.026785714285714284,0.26785714285714285,1.0,10.052631578947368,0.3170731707317073,5,2,0.2,1894,0
tests/test_union_inherited_body.py,2.0,100.07820003461549,100.07820003461549,1.0,0.0,0.0,0.0,14.0,0.013422818791946308,0.11409395973154363,0.0,8.8,0.3712121212121212,11,5,0.5454545454545454,2048,1
tests/test_sse.py,3.393939393939394,1339.9367755480525,4548.732738044705,1.0,0.0,0.0,1.0,30.0,0.0219435736677116,0.2884012539184953,1.0,16.174603174603174,0.2687224669603524,1,1,0.0,0,0
tests/test_arbitrary_types.py,2.0,38.03910001730775,19.019550008653876,1.0,0.5,1.0,0.0,21.0,0.007352941176470588,0.14705882352941177,0.0,9.10344827586207,0.3879310344827586,3,1,0.3333333333333333,0,0
tests/test_response_model_as_return_annotation.py,1.8974358974358974,1501.4468950959833,1501.4468950959833,1.0,0.0,0.0,1.0,21.0,0.0,0.14708520179372198,0.0,41.63,0.6309148264984227,7,3,0.7142857142857143,800,1
tests/test_invalid_path_param.py,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0,0.3333333333333333,0.0,10.521739130434783,0.5384615384615384,1,1,1.0,2113,0
tests/test_schema_compat_pydantic_v2.py,1.6666666666666667,27.0,27.0,2.0,0.0,0.0,0.0,15.0,0.0,0.15384615384615385,0.0,7.545454545454546,0.16883116883116883,2,2,0.0,0,0
tests/test_param_include_in_schema.py,2.111111111111111,131.76952268336282,65.88476134168141,0.0,0.0,0.0,0.0,18.0,0.0,0.09465020576131687,0.0,10.11111111111111,0.5181818181818182,7,5,0.42857142857142855,1148,1
tests/test_dependency_paramless.py,2.125,133.78294855911892,211.23623456702987,0.0,0.0,0.0,1.0,15.0,0.05128205128205128,0.28205128205128205,0.0,16.08695652173913,0.16071428571428573,3,1,0.0,0,0
tests/test_custom_middleware_exception.py,2.142857142857143,255.45254855459342,1186.618290060047,0.0,2.0,4.285714285714286,2.0,28.0,0.0,0.2604166666666667,1.0,9.88888888888889,0.11267605633802817,1,1,0.0,934,0
tests/test_get_request_body.py,1.75,25.26619429851844,12.63309714925922,1.0,0.0,0.0,0.0,13.0,0.0,0.1111111111111111,0.0,8.058823529411764,0.3020833333333333,6,4,0.5,1702,1
tests/test_dependency_wrapped.py,1.2615384615384615,43.01955000865388,86.03910001730776,0.0,0.5384615384615384,0.6792899408284023,2.0,45.0,0.0044444444444444444,0.32666666666666666,0.0,25.254901960784313,0.3234323432343234,3,2,0.3333333333333333,0,0
tests/test_dependency_yield_except_httpexception.py,3.5,197.4184681619259,230.32154618891354,0.0,0.0,0.0,2.0,19.0,0.0,0.273972602739726,0.0,10.44,0.1320754716981132,1,1,1.0,0,0
tests/test_datetime_custom_encoder.py,2.0,13.931568569324174,6.965784284662087,1.0,0.3333333333333333,0.6666666666666666,1.0,15.0,0.017241379310344827,0.27586206896551724,0.0,10.476190476190476,0.2619047619047619,3,1,0.6666666666666666,2224,0
tests/test_router_prefix_with_template.py,2.0,13.931568569324174,6.965784284662087,0.0,0.0,0.0,0.0,10.0,0.0,0.4583333333333333,0.0,6.5,0.0,3,2,0.3333333333333333,2088,0
tests/test_security_http_base_description.py,2.5,66.60791492653966,33.30395746326983,0.0,0.0,0.0,0.0,10.0,0.0,0.21311475409836064,0.0,13.857142857142858,0.16666666666666666,3,2,0.6666666666666666,1327,0
tests/test_security_api_key_cookie_optional.py,2.3333333333333335,100.07820003461549,100.07820003461549,1.0,0.0,0.0,1.0,16.0,0.0,0.21621621621621623,0.0,10.409090909090908,0.1724137931034483,8,3,0.5,2175,0
tests/test_openapi_servers.py,2.0,25.26619429851844,12.63309714925922,0.0,0.0,0.0,0.0,6.0,0.028985507246376812,0.14492753623188406,0.0,7.888888888888889,0.2542372881355932,4,2,0.75,1737,0
tests/test_swagger_ui_escape.py,3.3333333333333335,75.28421251514429,105.397897521202,0.0,0.0,0.0,0.0,4.0,0.0,0.21052631578947367,0.0,22.714285714285715,0.3333333333333333,1,1,0.0,0,0
tests/test_multipart_installation.py,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.23333333333333334,0.0,21.0,0.7043478260869566,4,2,0.5,1682,0
