file_name,avg_cyclomatic_complexity,halstead_volume,halstead_effort,depth_of_inheritance_tree,number_of_methods_per_class,weighted_methods_per_class,comment_density,whitespace_ratio,docstring_presence,avg_identifier_length,commit_frequency,author_count,bug_fix_ratio,code_age_days,target_bug_proneness
setup.py,0.0,0.0031102842757411366,0.0009145340947832756,0.0,0.0,0.0,0.0333333333333333,0.002696871628910358,1.0,0.08022308022308022,0.5341614906832297,0.46153846153846156,0.1264367816091954,1.0,1
tests/test_utils.py,0.35897435897435903,0.15196990614790812,0.08955280276372866,0.0,0.18061088977423637,0.12240437158469947,0.02760736196319012,0.09333492167490615,1.0,0.4399247732581067,0.3540372670807453,0.47692307692307695,0.3103448275862069,0.9813021702838063,1
tests/conftest.py,0.15384615384615385,0.0013834514092831828,0.0001452799544646997,0.0,0.0,0.0,0.12203389830508468,0.5117656738522298,0.0,0.17549549549549548,0.024844720496894408,0.06153846153846154,0.4,0.9609348914858096,0
tests/test_structures.py,0.3186813186813187,0.01509382813212673,0.0034582767270885644,0.0,0.40637450199203184,0.244496487119438,0.0,0.3182991274425461,1.0,0.2332332332332332,0.031055900621118016,0.06153846153846154,0.0,0.9682804674457428,0
tests/test_packages.py,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.8213689482470785,0
tests/test_testserver.py,0.3717948717948718,0.0198858490178044,0.0010441332526797678,0.0,0.7450199203187251,0.5229508196721312,0.06506024096385539,0.30588372909112166,1.0,0.33435874899289536,0.08074534161490683,0.09230769230769231,0.3571428571428571,0.9716193656093488,1
tests/compat.py,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.2694174757281553,0.0,0.13513513513513514,0.018633540372670808,0.03076923076923077,0.25,0.9609348914858096,0
tests/__init__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.47999999999999987,0.41553398058252417,1.0,0.32732732732732733,0.037267080745341616,0.06153846153846154,0.2857142857142857,0.9609348914858096,0
tests/test_hooks.py,0.25641025641025644,0.0012426774834180276,6.524845288885898e-05,0.0,0.0,0.0,0.0,0.6188265090755591,0.0,0.13513513513513514,0.012422360248447206,0.03076923076923077,0.0,0.968948247078464,0
tests/test_requests.py,0.4383045525902669,1.0,1.0,0.5,1.0,0.8274953259992524,0.042617560013153456,0.15035932865721852,1.0,0.6263026136443859,0.9999999999999999,1.0,0.2530864197530864,0.9609348914858096,1
tests/utils.py,0.46153846153846156,0.0004241296739647005,2.2269499061281063e-05,0.0,0.0,0.0,0.0,0.16504854368932026,0.0,0.0750750750750751,0.012422360248447206,0.03076923076923077,0.0,0.9485809682804673,0
tests/test_adapters.py,0.3076923076923077,0.0004241296739647005,2.2269499061281063e-05,0.0,0.0,0.0,0.0,0.5825242718446602,1.0,0.4234234234234234,0.0,0.0,0.0,0.0,0
tests/test_help.py,0.27692307692307694,0.002408364276092019,0.00025290881198808954,0.0,0.06772908366533864,0.035409836065573776,0.0,0.6421636615811372,1.0,0.4180847514180848,0.024844720496894408,0.03076923076923077,0.0,0.8096828046744573,0
tests/test_lowlevel.py,0.5274725274725275,0.07043262254235147,0.02625172442045569,0.0,0.0,0.0,0.09230769230769215,0.3314549528141761,1.0,0.502807154981068,0.15527950310559005,0.18461538461538463,0.4230769230769231,0.9716193656093488,1
tests/testserver/server.py,0.3384615384615385,0.007849483566522137,0.0017859733389776196,0.5,0.40637450199203184,0.259672131147541,0.06101694915254226,0.21457956228402175,1.0,0.24593981736838877,0.07453416149068323,0.13846153846153847,0.3846153846153846,0.9716193656093488,0
docs/conf.py,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3624595469255663,0.0,0.3766739712685659,0.09937888198757763,0.1076923076923077,0.4117647058823529,0.9609348914858096,0
docs/_themes/flask_theme_support.py,0.15384615384615385,0.0,0.0,0.5,0.0,0.0,0.12413793103448272,0.1218613993973886,0.0,0.12948242360007067,0.0,0.0,1.0,0.9609348914858096,0
src/requests/cookies.py,0.36574746008708275,0.08827500427577044,0.06933956776214925,1.0,0.694223107569721,0.4793690071141355,0.038434163701067454,0.24230383857927645,1.0,0.19446402924663792,0.0,0.0,0.0,0.064440734557596,0
src/requests/auth.py,0.4534412955465587,0.06779376799082978,0.04746137310694724,0.5,0.23705179282868524,0.2029335634167386,0.15428571428571425,0.2644475265834488,1.0,0.14208945787893162,0.0,0.0,0.0,0.064440734557596,1
src/requests/sessions.py,0.6256410256410256,0.1240478427190934,0.09536903634836738,0.5,0.846613545816733,1.0,0.2509615384615384,0.19916915608663177,1.0,0.2141403148114558,0.006211180124223602,0.015384615384615385,0.0,0.064440734557596,1
src/requests/hooks.py,0.6153846153846154,0.0013834514092831828,0.0001452799544646997,0.0,0.0,0.0,0.05294117647058814,0.484294688749286,1.0,0.10019110019110017,0.0,0.0,0.0,0.064440734557596,1
src/requests/compat.py,0.6153846153846154,0.00355573908954362,0.0003733977279945869,0.0,0.0,0.0,0.31962616822429896,0.21576989383903433,1.0,0.18536718536718527,0.018633540372670808,0.0,0.0,0.064440734557596,0
src/requests/models.py,0.6858974358974359,0.16701099730753435,0.14178830084385358,1.0,0.5824701195219123,0.7542622950819672,0.20076923076923067,0.18833084391336802,1.0,0.21414197702857496,0.037267080745341616,0.015384615384615385,0.1428571428571428,0.064440734557596,1
src/requests/certs.py,0.0,0.0004241296739647005,2.2269499061281063e-05,0.0,0.0,0.0,0.09999999999999988,0.44336569579288027,1.0,0.03903903903903905,0.0,0.0,0.0,0.064440734557596,1
src/requests/__init__.py,1.0,0.012104872239618498,0.004262142142148442,0.0,0.0,0.0,0.18486486486486484,0.20792442928365262,1.0,0.2672672672672673,0.006211180124223602,0.0,0.0,0.064440734557596,1
src/requests/status_codes.py,0.9230769230769231,0.004476834764819585,0.0010577800415924447,0.0,0.0,0.0,0.05581395348837191,0.0,1.0,0.009471009471009484,0.012422360248447206,0.03076923076923077,0.0,0.064440734557596,0
src/requests/packages.py,0.0,0.004796608676592413,0.0008395079695178133,0.0,0.0,0.0,0.2999999999999999,0.2694174757281553,0.0,0.060393727060393754,0.031055900621118016,0.03076923076923077,0.0,0.064440734557596,0
src/requests/__version__.py,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0815533980582524,0.0,0.27447447447447454,0.037267080745341616,0.015384615384615385,0.0,0.064440734557596,0
src/requests/api.py,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.03417721518987341,0.3500061447707999,1.0,0.0,0.0,0.0,0.0,0.064440734557596,0
src/requests/_internal_utils.py,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.2878355225585379,1.0,0.43859649122807015,0.0,0.0,0.0,0.064440734557596,1
src/requests/utils.py,0.6996336996336997,0.2252831811581505,0.2719951097992153,0.0,0.0,0.0,0.1390984360625574,0.28218754744955826,1.0,0.23679903079044712,0.05590062111801242,0.07692307692307693,0.4,0.064440734557596,2
src/requests/exceptions.py,0.19780219780219782,0.002544778043788203,0.0004008509831030591,1.0,0.008127490039840637,0.0030351288056206095,0.0118421052631578,0.7363311190597852,1.0,0.3441441441441441,0.006211180124223602,0.015384615384615385,0.5,0.064440734557596,1
src/requests/structures.py,0.21153846153846156,0.0013834514092831828,0.0001452799544646997,0.5,0.4741035856573705,0.18934426229508197,0.09,0.44893203883495153,1.0,0.11676382264617557,0.0,0.0,0.0,0.064440734557596,0
src/requests/help.py,0.6666666666666666,0.009844099486720903,0.0028627071818568494,0.0,0.0,0.0,0.0,0.17432578209277227,1.0,0.2597597597597598,0.0,0.0,0.0,0.064440734557596,1
src/requests/adapters.py,0.5734265734265734,0.03934106529363487,0.0172596997397935,0.5,0.6095617529880477,0.6599105812220567,0.04131994261119065,0.13929322617041134,1.0,0.2845759144971743,0.06832298136645963,0.046153846153846156,0.1666666666666666,0.064440734557596,1
