file_name,avg_cyclomatic_complexity,halstead_volume,halstead_effort,depth_of_inheritance_tree,number_of_methods_per_class,weighted_methods_per_class,nesting_depth,class_coupling,comment_density,whitespace_ratio,docstring_presence,avg_identifier_length,code_duplication_pct,commit_frequency,author_count,bug_fix_ratio,code_age_days,target_bug_proneness
tests/test_utils.py,2.125,114.6940428629768,57.3470214314884,0.0,0.0,0.0,1.0,21.0,0.0,0.1456953642384106,0.0,11.068965517241379,0.27906976744186046,49,19,0.2857142857142857,2075,0
tests/conftest.py,1.9565217391304348,91.73835003173087,246.98786547004468,1.0,2.0,3.9130434782608696,7.0,47.0,0.027777777777777776,0.1840277777777778,1.0,9.114285714285714,0.2936170212765957,54,24,0.37037037037037035,2172,0
tests/test_auth.py,6.111111111111111,745.8796134675903,1864.6990336689757,0.0,0.0,0.0,1.0,21.0,0.08414239482200647,0.1779935275080906,1.0,13.96774193548387,0.6062992125984252,5,5,0.8,1650,0
tests/test_timeouts.py,1.0,23.264662506490403,13.95879750389424,0.0,0.0,0.0,1.0,7.0,0.017857142857142856,0.30357142857142855,0.0,12.833333333333334,0.1794871794871795,32,8,0.25,2160,0
tests/test_exported_members.py,2.0,38.053747805010275,76.10749561002055,0.0,0.0,0.0,0.0,6.0,0.0,0.21428571428571427,0.0,11.0,0.0,2,2,0.5,1675,0
tests/concurrency.py,2.0,4.754887502163469,2.3774437510817346,0.0,0.0,0.0,1.0,5.0,0.0,0.3125,1.0,5.833333333333333,0.09090909090909091,11,5,0.36363636363636365,2030,0
tests/test_asgi.py,2.1052631578947367,301.26792647514816,150.63396323757408,0.0,0.0,0.0,1.0,23.0,0.017777777777777778,0.27111111111111114,1.0,12.186046511627907,0.4146341463414634,28,10,0.32142857142857145,2098,0
tests/test_exceptions.py,4.0,60.91767875292166,134.01889325642767,0.0,0.0,0.0,1.0,20.0,0.03125,0.25,1.0,12.130434782608695,0.10416666666666667,12,8,0.4166666666666667,1718,0
tests/__init__.py,,,,,,,,,,,,,,1,1,0.0,1848,0
tests/test_decoders.py,2.391304347826087,777.5971556711455,2099.512320312093,0.0,0.0,0.0,1.0,28.0,0.033707865168539325,0.2303370786516854,1.0,12.537037037037036,0.45255474452554745,42,16,0.30952380952380953,2148,0
tests/common.py,0.0,4.754887502163469,2.3774437510817346,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.0,9.0,0.0,1,1,0.0,1704,0
tests/test_config.py,2.4074074074074074,710.0853307165304,739.2669196500864,0.0,0.0,0.0,1.0,22.0,0.0,0.32432432432432434,0.0,20.020408163265305,0.24,49,13,0.24489795918367346,2160,0
tests/test_content.py,6.25,1429.035861673348,3439.803136063281,0.0,1.0,6.25,1.0,28.0,0.005780346820809248,0.21579961464354527,0.0,15.333333333333334,0.5847665847665847,20,6,0.2,1916,0
