file_name,repo,avg_cyclomatic_complexity,halstead_volume,halstead_effort,depth_of_inheritance_tree,number_of_methods_per_class,weighted_methods_per_class,nesting_depth,class_coupling,comment_density,whitespace_ratio,docstring_presence,avg_identifier_length,code_duplication_pct,commit_frequency,author_count,bug_fix_ratio,code_age_days,target_bug_proneness
tests/test_generic_parameterless_depends.py,fastapi,2.0,62.26976913547136,37.361861481282816,0.0,0.0,0.0,0.0,11.0,0.0,0.2564102564102564,0.0,7.117647058823529,0.293103448275862,2,2,0.5,349,0
tests/test_serialize_response_dataclass.py,fastapi,1.4666666666666666,82.0447025077789,41.02235125388945,0.0,0.0,0.0,0.0,16.0,0.0,0.1794871794871795,0.0,10.935483870967742,0.55,6,4,0.1666666666666666,2025,0
tests/test_starlette_urlconvertors.py,fastapi,2.2222222222222223,149.27754454988144,74.63877227494072,0.0,0.0,0.0,0.0,11.0,0.0625,0.34375,0.0,12.65,0.0714285714285714,6,4,0.5,2132,0
tests/test_router_circular_import.py,fastapi,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.3076923076923077,0.0,12.4,0.0,1,1,1.0,0,0
tests/test_additional_responses_custom_validationerror.py,fastapi,1.4,13.931568569324174,6.965784284662087,1.0,0.0,0.0,0.0,13.0,0.0,0.15,0.0,7.944444444444445,0.2117647058823529,6,3,0.6666666666666666,2025,0
tests/test_dependency_after_yield_websockets.py,fastapi,1.9,20.89735285398626,15.673014640489694,0.0,2.0,3.8,2.0,21.0,0.0,0.3,0.0,11.03225806451613,0.1071428571428571,2,1,0.5,0,0
tests/test_required_noneable.py,fastapi,2.0,131.76952268336282,65.88476134168141,0.0,0.0,0.0,0.0,11.0,0.0,0.3968253968253968,0.0,17.80952380952381,0.2105263157894736,1,1,0.0,1037,0
tests/test_security_http_basic_realm_description.py,fastapi,3.1666666666666665,185.4406125843753,92.72030629218764,0.0,0.0,0.0,0.0,13.0,0.0,0.2195121951219512,0.0,16.105263157894736,0.203125,4,2,0.5,1327,0
tests/test_security_http_base.py,fastapi,2.5,66.60791492653966,33.30395746326983,0.0,0.0,0.0,0.0,10.0,0.0,0.2363636363636363,0.0,13.857142857142858,0.1428571428571428,7,2,0.4285714285714285,2269,0
tests/test_exception_handlers.py,fastapi,1.5714285714285714,110.44611534953322,110.44611534953322,0.0,0.0,0.0,1.0,18.0,0.0,0.3595505617977528,0.0,18.0625,0.0175438596491228,3,3,0.6666666666666666,1592,0
tests/utils.py,fastapi,0.0,20.67970000576925,25.84962500721156,0.0,0.0,0.0,0.0,7.0,0.0,0.25,0.0,10.428571428571429,0.0,5,2,0.2,1921,1
